Domain,Receive Time,Serial #,Type,Threat/Content Type,Config Version,Generate Time,Source address,Destination address,NAT Source IP,NAT Destination IP,Rule,Source User,Destination User,Application,Virtual System,Source Zone,Destination Zone,Inbound Interface,Outbound Interface,Log Action,Time Logged,Session ID,Repeat Count,Source Port,Destination Port,NAT Source Port,NAT Destination Port,Flags,IP Protocol,Action,Bytes,Bytes Sent,Bytes Received,Packets,Start Time,Elapsed Time (sec),Category,tpadding,Sequence Number,Action Flags,Source Country,Destination Country,cpadding,Packets Sent,Packets Received,Session End Reason,DG Hierarchy Level 1,DG Hierarchy Level 2,DG Hierarchy Level 3,DG Hierarchy Level 4,Virtual System Name,Device Name,Action Source,Source VM UUID,Destination VM UUID,Tunnel ID/IMSI,Monitor Tag/IMEI,Parent Session ID,Parent Session Start Time,Tunnel,SCTP Association ID,SCTP Chunks,SCTP Chunks Sent,SCTP Chunks Received
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,187.189.49.39,63.73.132.104,187.189.49.39,10.32.130.93,Rule 79,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,168836,1,37711,443,37711,443,0x414053,tcp,allow,12207,2650,9557,49,8/19/2019 12:57,300,business-and-economy,0,6074250299,0x0,Mexico,United States,0,24,25,tcp-fin,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,209.155.200.206,63.73.132.104,209.155.200.206,10.32.130.93,Rule 79,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,35767,1,52030,443,52030,443,0x414053,tcp,allow,12355,2654,9701,50,8/19/2019 12:57,300,business-and-economy,0,6074250341,0x0,United States,United States,0,24,26,tcp-fin,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,192.141.244.201,63.73.132.104,192.141.244.201,10.32.130.93,Rule 79,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,212789,1,54797,443,54797,443,0x41401c,tcp,allow,8242,736,7506,21,8/19/2019 13:02,3,business-and-economy,0,6074250350,0x0,Mexico,United States,0,9,12,tcp-fin,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,24.116.29.14,63.73.132.104,24.116.29.14,10.32.130.93,Rule 79,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,45022,1,52969,443,52969,443,0x414053,tcp,allow,15234,4352,10882,36,8/19/2019 13:02,1,business-and-economy,0,6074250364,0x0,United States,United States,0,17,19,tcp-rst-from-client,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,177.239.227.80,63.73.132.105,177.239.227.80,10.32.136.222,Rule 79,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,203985,1,62330,443,62330,443,0x414053,tcp,allow,12207,2650,9557,49,8/19/2019 12:57,300,business-and-economy,0,6074250302,0x0,Mexico,United States,0,24,25,tcp-fin,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,142.234.39.4,63.73.132.102,142.234.39.4,10.32.130.101,beta-my,,,incomplete,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,123621,1,44262,443,44262,443,0x414019,tcp,allow,360,60,300,6,8/19/2019 13:02,16,any,0,6074250375,0x0,Netherlands,United States,0,1,5,aged-out,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,142.234.39.38,63.73.132.44,142.234.39.38,10.32.138.40,Rule 93,,,incomplete,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,14456,1,57669,22,57669,22,0x404019,tcp,allow,240,60,180,4,8/19/2019 13:02,9,any,0,6074250377,0x0,Netherlands,United States,0,1,3,aged-out,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035857,TRAFFIC,end,0,8/19/2019 13:02,142.234.39.36,50.227.86.240,142.234.39.36,192.168.1.20,RDS-Remote,,,incomplete,vsys1,untrust,trust,ethernet1/1,ethernet1/2,To-Panorama,8/19/2019 13:02,76192,1,63762,443,63762,443,0x400019,tcp,allow,240,60,180,4,8/19/2019 13:02,9,any,0,898605376,0x0,Netherlands,United States,0,1,3,aged-out,15,0,0,0,,OR-02-LLS-PALOALTO-FW,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035857,TRAFFIC,end,0,8/19/2019 13:02,142.234.39.37,50.227.86.201,142.234.39.37,192.168.1.69,Web_Training,,,incomplete,vsys1,untrust,trust,ethernet1/1,ethernet1/2,To-Panorama,8/19/2019 13:02,160569,1,35167,443,35167,443,0x400019,tcp,allow,240,60,180,4,8/19/2019 13:02,9,any,0,898605389,0x0,Netherlands,United States,0,1,3,aged-out,15,0,0,0,,OR-02-LLS-PALOALTO-FW,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,209.45.66.146,63.73.132.18,209.45.66.146,10.255.0.56,Rule 82,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,13821,1,11031,443,11031,443,0x40401b,tcp,allow,5908,678,5230,14,8/19/2019 13:02,1,business-and-economy,0,6074250135,0x0,Peru,United States,0,7,7,tcp-rst-from-server,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,142.234.39.36,50.205.86.74,142.234.39.36,10.32.130.33,Verint_Prod_Comcast,,,incomplete,vsys1,outside,inside,ethernet1/2,ethernet1/4,To-Panorama,8/19/2019 13:02,56777,1,47731,443,47731,443,0x414019,tcp,allow,360,60,300,6,8/19/2019 13:02,15,any,0,6074250138,0x0,Netherlands,United States,0,1,5,aged-out,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
